"year","month","calamar_monthly","bolivar_monthly","manaos_monthly","obidos_monthly","tabatinga_monthly","timbues_monthly"
1997,4,3703.733333333333,,134670.0,239260.0,52053.666666666664,19497.0
1997,3,3689.3870967741937,,108497.09677419355,192558.06451612903,50549.67741935484,24675.85
1997,2,4933.607142857143,,84693.92857142857,161414.2857142857,33870.0,23134.9
1997,1,5691.870967741936,,88074.51612903226,140680.64516129033,29449.354838709678,19858.8
1996,12,9402.225806451614,,76990.64516129032,124877.41935483871,32490.645161290322,19956.6
1996,11,10510.633333333333,,75514.33333333333,111783.33333333333,31525.666666666668,19721.85
1996,10,9896.258064516129,,61167.096774193546,114132.25806451614,28029.677419354837,15713.7
1996,9,10233.6,,76916.33333333333,154156.66666666666,20205.666666666668,12664.2
1996,8,11121.58064516129,,107099.35483870968,197545.16129032258,24167.41935483871,13118.35
1996,7,11029.064516129032,,134290.32258064515,229477.4193548387,25521.935483870966,14781.0
1996,6,9224.5,,141263.33333333334,246830.0,43057.333333333336,16549.1
1996,5,7208.774193548387,,136748.38709677418,247554.83870967742,50746.45161290323,19669.35
1996,4,6626.8,,127936.66666666667,232163.33333333334,47353.0,19846.5
1996,3,5882.548387096775,,114583.87096774194,199764.51612903227,45321.6129032258,18847.35
1996,2,4982.241379310345,,99808.96551724138,164089.6551724138,39940.34482758621,16546.35
1996,1,6821.612903225807,,91341.6129032258,139474.1935483871,36857.41935483871,13204.35
1995,12,9348.741935483871,,79485.80645161291,114074.19354838709,32657.74193548387,13998.5
1995,11,10027.666666666666,,54385.0,83342.66666666667,27510.333333333332,16155.0
1995,10,9162.58064516129,,39957.41935483871,79913.87096774194,18340.645161290322,14867.05
1995,9,9493.233333333334,,47353.0,113886.0,15570.0,13580.45
1995,8,8850.322580645161,,95258.70967741935,171900.0,18705.16129032258,15384.75
1995,7,7741.548387096775,,124254.83870967742,206490.32258064515,28563.870967741936,16456.6
1995,6,7233.7,,130703.33333333333,223240.0,36991.666666666664,18113.65
1995,5,5821.8387096774195,,125729.03225806452,216993.5483870968,41255.16129032258,21061.7
1995,4,3689.3,,111473.66666666667,187950.0,44108.0,23903.55
1995,3,2622.6451612903224,,90698.70967741935,163854.83870967742,38792.58064516129,24403.52581
1995,2,2534.0,,92050.71428571429,153050.0,35134.642857142855,20877.53929
1995,1,5246.935483870968,,98334.83870967742,143664.51612903227,36484.83870967742,16058.0
1994,12,9946.09677419355,,98662.90322580645,119722.58064516129,37467.096774193546,16882.4
1994,11,9540.866666666667,,86713.0,115053.33333333333,29928.666666666668,16048.25
1994,10,7920.580645161291,,83879.35483870968,139277.4193548387,26504.516129032258,13194.2
1994,9,6575.066666666667,,110020.66666666667,176123.33333333334,23599.666666666668,14024.15
1994,8,6866.354838709677,,140006.4516129032,214654.83870967742,26490.0,17844.95
1994,7,8376.290322580646,,150519.35483870967,245035.48387096773,45716.77419354839,19705.4
1994,6,9081.566666666668,,150260.0,254976.66666666666,56573.333333333336,17517.8
1994,5,8073.548387096775,,145529.03225806452,254625.8064516129,58191.290322580644,16053.75
1994,4,6451.433333333333,,138000.0,243496.66666666666,51333.0,17356.55
1994,3,5146.225806451613,,125893.54838709677,225325.8064516129,47471.93548387097,19534.2
1994,2,5154.107142857143,,118150.0,198107.14285714287,42356.07142857143,17732.2
1994,1,8044.612903225807,,112529.03225806452,171358.06451612903,41907.74193548387,16400.35
1993,12,10011.90322580645,,102264.83870967742,140364.51612903227,44866.77419354839,18929.15
1993,11,8982.033333333333,,81638.66666666667,114923.33333333333,41541.333333333336,21217.6
1993,10,8267.709677419354,,72474.83870967742,119812.90322580645,29920.967741935485,17312.35
1993,9,7236.833333333333,,92036.66666666667,151080.0,30248.666666666668,13546.4
1993,8,6275.225806451613,,120577.41935483871,190770.96774193548,30468.387096774193,14920.4
1993,7,7770.4838709677415,,144832.25806451612,223100.0,33932.58064516129,16955.25
1993,6,8567.0,,150786.66666666666,240130.0,48331.666666666664,18247.05
1993,5,7417.774193548387,,143854.83870967742,244303.2258064516,57147.41935483871,19096.1
1993,4,5266.033333333334,,133606.66666666666,230240.0,55020.0,21394.35
1993,3,3587.3870967741937,,120980.64516129032,200690.32258064515,48118.3870967742,22362.1
1993,2,3850.285714285714,,110435.71428571429,169053.57142857142,43979.28571428572,22529.9
1993,1,5111.387096774193,,101456.7741935484,146703.2258064516,41971.93548387097,23168.1
1992,12,7096.387096774193,,82652.25806451614,116183.87096774194,37422.903225806454,23242.15
1992,11,6913.7,,62985.0,96225.33333333333,27920.666666666668,21401.7
1992,10,6908.0,,58607.41935483871,106225.80645161291,27963.870967741936,19971.15
1992,9,6075.166666666667,,60995.0,117273.33333333333,27658.666666666668,20744.35
1992,8,5717.8387096774195,,73867.09677419355,136858.06451612903,21935.16129032258,23052.15
1992,7,4898.806451612903,,101503.87096774194,157516.12903225806,28637.41935483871,27669.4
1992,6,5506.9,,117020.0,178883.33333333334,31272.333333333332,28163.5
1992,5,4616.903225806452,,120512.90322580645,192138.70967741936,39336.12903225807,23611.6
1992,4,2844.133333333333,,114203.33333333333,182753.33333333334,43546.666666666664,20616.0
1992,3,2884.032258064516,,86037.09677419355,145896.7741935484,37573.54838709677,19253.95
